trial_id,status,duration_s,cfg_profile,cfg_seq_len,cfg_temperature,cfg_threshold,cfg_vocab_size,metric_argmax_sample_agreement,metric_avg_top_prob,metric_confident_entropy_avg,metric_median_top_prob,metric_p10_top_prob,metric_p90_top_prob,metric_skip_rate,metric_threshold,metric_uncertain_entropy_avg
token_confidence_threshold_t0001,completed,0.4445,natural,512,0.3,0.5,32000,0.318359375,0.3240562975406647,1.2538114786148071,0.17822116613388062,0.05504521355032921,0.9284676909446716,0.244140625,0.5,5.294529438018799
token_confidence_threshold_t0002,completed,0.4016,natural,512,0.3,0.6,32000,0.318359375,0.3240562975406647,0.9853432774543762,0.17822116613388062,0.05504521355032921,0.9284676909446716,0.212890625,0.6,5.206717014312744
token_confidence_threshold_t0003,completed,0.4036,natural,512,0.3,0.7,32000,0.318359375,0.3240562975406647,0.8251516222953796,0.17822116613388062,0.05504521355032921,0.9284676909446716,0.193359375,0.7,5.142904281616211
token_confidence_threshold_t0004,completed,0.4046,natural,512,0.3,0.8,32000,0.318359375,0.3240562975406647,0.4966415464878082,0.17822116613388062,0.05504521355032921,0.9284676909446716,0.1484375,0.8,4.972396373748779
token_confidence_threshold_t0005,completed,0.3963,natural,512,0.3,0.85,32000,0.318359375,0.3240562975406647,0.37708425521850586,0.17822116613388062,0.05504521355032921,0.9284676909446716,0.130859375,0.85,4.899876594543457
token_confidence_threshold_t0006,completed,0.4040,natural,512,0.3,0.9,32000,0.318359375,0.3240562975406647,0.3136198818683624,0.17822116613388062,0.05504521355032921,0.9284676909446716,0.119140625,0.9,4.848289489746094
token_confidence_threshold_t0007,completed,0.4129,natural,512,0.3,0.95,32000,0.318359375,0.3240562975406647,0.1608729213476181,0.17822116613388062,0.05504521355032921,0.9284676909446716,0.083984375,0.95,4.688255786895752
token_confidence_threshold_t0008,completed,0.3969,natural,512,0.3,0.99,32000,0.318359375,0.3240562975406647,0.03650813549757004,0.17822116613388062,0.05504521355032921,0.9284676909446716,0.041015625,0.99,4.490718841552734
token_confidence_threshold_t0009,completed,0.4063,natural,512,0.3,0.995,32000,0.318359375,0.3240562975406647,0.026119910180568695,0.17822116613388062,0.05504521355032921,0.9284676909446716,0.033203125,0.995,4.455081939697266
token_confidence_threshold_t0010,completed,0.4013,natural,512,0.3,0.999,32000,0.318359375,0.3240562975406647,0.0049753920175135136,0.17822116613388062,0.05504521355032921,0.9284676909446716,0.009765625,0.999,4.350462436676025
token_confidence_threshold_t0011,completed,0.4042,natural,512,0.5,0.5,32000,0.0703125,0.076384998857975,3.0978357791900635,0.02223607338964939,0.009103323332965374,0.19812050461769104,0.0390625,0.5,8.162808418273926
token_confidence_threshold_t0012,completed,0.3988,natural,512,0.5,0.6,32000,0.0703125,0.076384998857975,2.649521589279175,0.02223607338964939,0.009103323332965374,0.19812050461769104,0.029296875,0.6,8.125383377075195
token_confidence_threshold_t0013,completed,0.3999,natural,512,0.5,0.7,32000,0.0703125,0.076384998857975,2.0111849308013916,0.02223607338964939,0.009103323332965374,0.19812050461769104,0.017578125,0.7,8.071486473083496
token_confidence_threshold_t0014,completed,0.4041,natural,512,0.5,0.8,32000,0.0703125,0.076384998857975,1.2678080797195435,0.02223607338964939,0.009103323332965374,0.19812050461769104,0.009765625,0.8,8.031003952026367
token_confidence_threshold_t0015,completed,0.4059,natural,512,0.5,0.85,32000,0.0703125,0.076384998857975,0.8114790320396423,0.02223607338964939,0.009103323332965374,0.19812050461769104,0.005859375,0.85,8.007119178771973
token_confidence_threshold_t0016,completed,0.4092,natural,512,0.5,0.9,32000,0.0703125,0.076384998857975,0.6419230699539185,0.02223607338964939,0.009103323332965374,0.19812050461769104,0.00390625,0.9,7.9936747550964355
token_confidence_threshold_t0017,completed,0.4002,natural,512,0.5,0.95,32000,0.0703125,0.076384998857975,0.18699556589126587,0.02223607338964939,0.009103323332965374,0.19812050461769104,0.001953125,0.95,7.980178356170654
token_confidence_threshold_t0018,completed,0.4053,natural,512,0.5,0.99,32000,0.0703125,0.076384998857975,0,0.02223607338964939,0.009103323332965374,0.19812050461769104,0.0,0.99,7.964957237243652
token_confidence_threshold_t0019,completed,0.4031,natural,512,0.5,0.995,32000,0.0703125,0.076384998857975,0,0.02223607338964939,0.009103323332965374,0.19812050461769104,0.0,0.995,7.964957237243652
token_confidence_threshold_t0020,completed,0.4119,natural,512,0.5,0.999,32000,0.0703125,0.076384998857975,0,0.02223607338964939,0.009103323332965374,0.19812050461769104,0.0,0.999,7.964957237243652
token_confidence_threshold_t0021,completed,0.4118,natural,512,0.7,0.5,32000,0.009765625,0.01459185965359211,4.205361366271973,0.005123138893395662,0.0026868139393627644,0.02772337570786476,0.001953125,0.5,9.296390533447266
token_confidence_threshold_t0022,completed,0.4015,natural,512,0.7,0.6,32000,0.009765625,0.01459185965359211,4.205361366271973,0.005123138893395662,0.0026868139393627644,0.02772337570786476,0.001953125,0.6,9.296390533447266
token_confidence_threshold_t0023,completed,0.3997,natural,512,0.7,0.7,32000,0.009765625,0.01459185965359211,0,0.005123138893395662,0.0026868139393627644,0.02772337570786476,0.0,0.7,9.286446571350098
token_confidence_threshold_t0024,completed,0.4154,natural,512,0.7,0.8,32000,0.009765625,0.01459185965359211,0,0.005123138893395662,0.0026868139393627644,0.02772337570786476,0.0,0.8,9.286446571350098
token_confidence_threshold_t0025,completed,0.4364,natural,512,0.7,0.85,32000,0.009765625,0.01459185965359211,0,0.005123138893395662,0.0026868139393627644,0.02772337570786476,0.0,0.85,9.286446571350098
token_confidence_threshold_t0026,completed,0.4004,natural,512,0.7,0.9,32000,0.009765625,0.01459185965359211,0,0.005123138893395662,0.0026868139393627644,0.02772337570786476,0.0,0.9,9.286446571350098
token_confidence_threshold_t0027,completed,0.3988,natural,512,0.7,0.95,32000,0.009765625,0.01459185965359211,0,0.005123138893395662,0.0026868139393627644,0.02772337570786476,0.0,0.95,9.286446571350098
token_confidence_threshold_t0028,completed,0.3984,natural,512,0.7,0.99,32000,0.009765625,0.01459185965359211,0,0.005123138893395662,0.0026868139393627644,0.02772337570786476,0.0,0.99,9.286446571350098
token_confidence_threshold_t0029,completed,0.3951,natural,512,0.7,0.995,32000,0.009765625,0.01459185965359211,0,0.005123138893395662,0.0026868139393627644,0.02772337570786476,0.0,0.995,9.286446571350098
token_confidence_threshold_t0030,completed,0.4010,natural,512,0.7,0.999,32000,0.009765625,0.01459185965359211,0,0.005123138893395662,0.0026868139393627644,0.02772337570786476,0.0,0.999,9.286446571350098
token_confidence_threshold_t0031,completed,0.4138,natural,512,1.0,0.5,32000,0.001953125,0.002451634733006358,0,0.001371723716147244,0.0008714497089385986,0.004578202497214079,0.0,0.5,9.867181777954102
token_confidence_threshold_t0032,completed,0.4086,natural,512,1.0,0.6,32000,0.001953125,0.002451634733006358,0,0.001371723716147244,0.0008714497089385986,0.004578202497214079,0.0,0.6,9.867181777954102
token_confidence_threshold_t0033,completed,0.4028,natural,512,1.0,0.7,32000,0.001953125,0.002451634733006358,0,0.001371723716147244,0.0008714497089385986,0.004578202497214079,0.0,0.7,9.867181777954102
token_confidence_threshold_t0034,completed,0.4064,natural,512,1.0,0.8,32000,0.001953125,0.002451634733006358,0,0.001371723716147244,0.0008714497089385986,0.004578202497214079,0.0,0.8,9.867181777954102
token_confidence_threshold_t0035,completed,0.4131,natural,512,1.0,0.85,32000,0.001953125,0.002451634733006358,0,0.001371723716147244,0.0008714497089385986,0.004578202497214079,0.0,0.85,9.867181777954102
token_confidence_threshold_t0036,completed,0.4195,natural,512,1.0,0.9,32000,0.001953125,0.002451634733006358,0,0.001371723716147244,0.0008714497089385986,0.004578202497214079,0.0,0.9,9.867181777954102
token_confidence_threshold_t0037,completed,0.4147,natural,512,1.0,0.95,32000,0.001953125,0.002451634733006358,0,0.001371723716147244,0.0008714497089385986,0.004578202497214079,0.0,0.95,9.867181777954102
token_confidence_threshold_t0038,completed,0.4084,natural,512,1.0,0.99,32000,0.001953125,0.002451634733006358,0,0.001371723716147244,0.0008714497089385986,0.004578202497214079,0.0,0.99,9.867181777954102
token_confidence_threshold_t0039,completed,0.3984,natural,512,1.0,0.995,32000,0.001953125,0.002451634733006358,0,0.001371723716147244,0.0008714497089385986,0.004578202497214079,0.0,0.995,9.867181777954102
token_confidence_threshold_t0040,completed,0.4061,natural,512,1.0,0.999,32000,0.001953125,0.002451634733006358,0,0.001371723716147244,0.0008714497089385986,0.004578202497214079,0.0,0.999,9.867181777954102
token_confidence_threshold_t0041,completed,0.4050,natural,512,1.5,0.5,32000,0.001953125,0.0005755103193223476,0,0.00043436966370791197,0.00032111559994518757,0.0009722835966385901,0.0,0.5,10.150615692138672
token_confidence_threshold_t0042,completed,0.4114,natural,512,1.5,0.6,32000,0.001953125,0.0005755103193223476,0,0.00043436966370791197,0.00032111559994518757,0.0009722835966385901,0.0,0.6,10.150615692138672
