trial_id,status,duration_s,cfg_budget_frac,cfg_experiment,cfg_max_new_tokens,cfg_model,cfg_policy,cfg_prompt,metric_avg_cache_tokens,metric_exact_token_match,metric_final_cache_tokens,metric_first_mismatch_index,metric_max_cache_tokens,metric_new_tokens,metric_peak_memory_mb,metric_prompt_tokens,metric_text_similarity,metric_token_match_rate,metric_tokens_per_second,metric_wall_time_s
e2e_kv_cache_qwen2.5_0.5b_t0001,completed,0.0002,1.0,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,full,code_complex,135.5,1.0,151.0,-1.0,151.0,32.0,997.63623046875,120.0,1.0,1.0,15.856705709564963,2.0180736520005667
e2e_kv_cache_qwen2.5_0.5b_t0002,completed,0.0000,0.75,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,window,code_complex,102.4375,0.0,113.0,2.0,120.0,32.0,998.97802734375,120.0,0.3368421052631579,0.0625,15.41997733660338,2.075230028000078
e2e_kv_cache_qwen2.5_0.5b_t0003,completed,0.0000,0.75,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,h2o,code_complex,102.4375,0.0,113.0,1.0,120.0,32.0,998.97802734375,120.0,0.3090909090909091,0.0625,16.063341417652055,1.9921135439999489
e2e_kv_cache_qwen2.5_0.5b_t0004,completed,0.0000,0.75,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,sink_h2o,code_complex,102.4375,0.0,113.0,1.0,120.0,32.0,998.97802734375,120.0,0.3090909090909091,0.0625,18.0826311280699,1.7696539720000146
e2e_kv_cache_qwen2.5_0.5b_t0005,completed,0.0000,0.75,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,hybrid,code_complex,102.4375,1.0,113.0,-1.0,120.0,32.0,998.97802734375,120.0,1.0,1.0,19.562589832482672,1.6357752359999722
e2e_kv_cache_qwen2.5_0.5b_t0006,completed,0.0000,0.9,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,window,code_complex,122.0,0.0,136.0,2.0,136.0,32.0,999.39990234375,120.0,0.41706161137440756,0.0625,19.14763565109146,1.671224613999584
e2e_kv_cache_qwen2.5_0.5b_t0007,completed,0.0000,0.9,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,h2o,code_complex,122.0,0.0,136.0,1.0,136.0,32.0,999.39990234375,120.0,0.2723735408560311,0.0625,23.41685741704251,1.3665369109994572
e2e_kv_cache_qwen2.5_0.5b_t0008,completed,0.0000,0.9,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,sink_h2o,code_complex,122.0,0.0,136.0,1.0,136.0,32.0,999.39990234375,120.0,0.2723735408560311,0.0625,22.33346817396504,1.4328271700005644
e2e_kv_cache_qwen2.5_0.5b_t0009,completed,0.0000,0.9,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,hybrid,code_complex,122.0,1.0,136.0,-1.0,136.0,32.0,999.39990234375,120.0,1.0,1.0,23.23620038818799,1.377161475000321
e2e_kv_cache_qwen2.5_0.5b_t0010,completed,0.0001,1.0,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,full,reasoning,67.5,1.0,83.0,-1.0,83.0,32.0,970.1455078125,52.0,1.0,1.0,23.050208107359833,1.3882738000002064
e2e_kv_cache_qwen2.5_0.5b_t0011,completed,0.0000,0.75,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,window,reasoning,50.90625,0.0,62.0,10.0,62.0,32.0,970.73193359375,52.0,0.5485714285714286,0.3125,24.59975404519312,1.3008260140004495
e2e_kv_cache_qwen2.5_0.5b_t0012,completed,0.0000,0.75,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,h2o,reasoning,50.90625,0.0,62.0,4.0,62.0,32.0,970.73193359375,52.0,0.5084745762711864,0.34375,22.426202487922428,1.4269023040005777
e2e_kv_cache_qwen2.5_0.5b_t0013,completed,0.0000,0.75,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,sink_h2o,reasoning,50.90625,0.0,62.0,4.0,62.0,32.0,970.73193359375,52.0,0.5084745762711864,0.34375,23.51290440914318,1.3609547949999978
e2e_kv_cache_qwen2.5_0.5b_t0014,completed,0.0000,0.75,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,hybrid,reasoning,50.90625,0.0,62.0,6.0,62.0,32.0,970.73193359375,52.0,0.7671232876712328,0.1875,17.73983007362402,1.8038504240003022
e2e_kv_cache_qwen2.5_0.5b_t0015,completed,0.0000,0.9,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,window,reasoning,60.5625,0.0,74.0,4.0,74.0,32.0,970.87255859375,52.0,0.48044692737430167,0.25,15.899547612160545,2.0126358799998343
e2e_kv_cache_qwen2.5_0.5b_t0016,completed,0.0000,0.9,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,h2o,reasoning,59.7,0.0,73.0,10.0,73.0,30.0,970.87255859375,52.0,0.5151515151515151,0.3125,20.09118087771387,1.4931924699994852
e2e_kv_cache_qwen2.5_0.5b_t0017,completed,0.0000,0.9,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,sink_h2o,reasoning,59.7,0.0,73.0,10.0,73.0,30.0,970.87255859375,52.0,0.5151515151515151,0.3125,16.77763769071828,1.7880943999998635
e2e_kv_cache_qwen2.5_0.5b_t0018,completed,0.0000,0.9,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,hybrid,reasoning,60.5625,0.0,74.0,21.0,74.0,32.0,970.87255859375,52.0,0.958904109589041,0.875,19.54349994783456,1.6373730440000145
e2e_kv_cache_qwen2.5_0.5b_t0019,completed,0.0003,1.0,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,full,creative,57.5,1.0,73.0,-1.0,73.0,32.0,965.60205078125,42.0,1.0,1.0,20.236490981989473,1.5813018190001458
e2e_kv_cache_qwen2.5_0.5b_t0020,completed,0.0000,0.75,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,window,creative,43.34375,0.0,55.0,2.0,55.0,32.0,966.0009765625,42.0,0.30618892508143325,0.0625,16.732500498143427,1.9124457820007592
e2e_kv_cache_qwen2.5_0.5b_t0021,completed,0.0000,0.75,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,h2o,creative,43.34375,0.0,55.0,1.0,55.0,32.0,966.0009765625,42.0,0.2828282828282828,0.0625,22.508285524982924,1.421698688000106
