trial_id,status,duration_s,cfg_budget_frac,cfg_experiment,cfg_max_new_tokens,cfg_model,cfg_policy,cfg_prompt,metric_avg_cache_tokens,metric_avg_logprob_delta_vs_full,metric_final_cache_tokens,metric_max_cache_tokens,metric_mean_logprob,metric_nll,metric_nll_delta_vs_full,metric_peak_memory_mb,metric_perplexity,metric_perplexity_ratio_vs_full,metric_prompt_tokens,metric_scored_tokens,metric_tokens_per_second,metric_top1_match_delta_vs_full,metric_top1_match_rate,metric_total_logprob,metric_wall_time_s
e2e_kv_logprob_qwen2.5_0.5b_t0013,completed,0.0000,0.75,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,h2o,wikitext_512tok,399.5,-0.5721019734862693,407.0,512.0,-0.705894249593257,0.705894249593257,0.5721019734862693,1315.8369140625,2.0256573184556435,1.771987810991512,512.0,32.0,22.840047196025253,-0.125,0.875,-22.588615986984223,1.401047892999486
e2e_kv_logprob_qwen2.5_0.5b_t0014,completed,0.0000,0.75,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,hybrid,wikitext_512tok,399.5,-0.4628255706704749,407.0,512.0,-0.5966178467774625,0.5966178467774625,0.4628255706704749,1315.8369140625,1.8159665252511512,1.5885562274506266,512.0,32.0,21.69100371187402,-0.0625,0.9375,-19.0917710968788,1.4752659869991476
e2e_kv_logprob_qwen2.5_0.5b_t0015,completed,0.0000,0.9,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,window,wikitext_512tok,476.0,-0.7836720037259965,488.0,512.0,-0.9174642798329842,0.9174642798329842,0.7836720037259965,1315.8369140625,2.502935592089213,2.1894973648653826,512.0,32.0,22.297799032641937,-0.25,0.75,-29.358856954655494,1.4351192219983204
e2e_kv_logprob_qwen2.5_0.5b_t0016,completed,0.0000,0.9,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,h2o,wikitext_512tok,476.0,-0.3768670940182801,488.0,512.0,-0.5106593701252677,0.5106593701252677,0.3768670940182801,1315.8369140625,1.6663896002977463,1.4577105580433756,512.0,32.0,19.587904223074844,-0.0625,0.9375,-16.341099844008568,1.63366124499953
e2e_kv_logprob_qwen2.5_0.5b_t0017,completed,0.0000,0.9,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,hybrid,wikitext_512tok,476.0,-0.0025798390479394584,488.0,512.0,-0.1363721151549271,0.1363721151549271,0.0025798390479394584,1315.8369140625,1.1461082985211413,1.002583169696259,512.0,32.0,18.429333863359844,0.0,1.0,-4.363907684957667,1.7363622709999618
e2e_kv_logprob_qwen2.5_0.5b_t0018,completed,0.0000,0.98,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,window,wikitext_512tok,516.84375,-1.0412701101711264,532.0,532.0,-1.175062386278114,1.175062386278114,1.0412701101711264,1315.8369140625,3.238344965825862,2.832812714642191,512.0,32.0,18.202412898540665,-0.21875,0.78125,-37.60199636089965,1.758008687000256
e2e_kv_logprob_qwen2.5_0.5b_t0019,completed,0.0000,0.98,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,h2o,wikitext_512tok,516.84375,-0.018754229996147842,532.0,532.0,-0.15254650610313547,0.15254650610313547,0.018754229996147842,1315.8369140625,1.164796630987265,1.0189311951179407,512.0,32.0,18.486039274944897,0.0,1.0,-4.881488195300335,1.7310360280025634
e2e_kv_logprob_qwen2.5_0.5b_t0020,completed,0.0000,0.98,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,hybrid,wikitext_512tok,516.84375,-2.352018441342807e-05,532.0,532.0,-0.13381579629140106,0.13381579629140106,2.352018441342807e-05,1315.8369140625,1.1431822218439265,1.000023520461015,512.0,32.0,18.592810126269182,0.0,1.0,-4.282105481324834,1.721095401000639
e2e_kv_logprob_qwen2.5_0.5b_t0021,completed,0.0000,1.0,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,full,wikitext_768tok,783.5,0.0,799.0,799.0,-0.18268962739094263,0.18268962739094263,0.0,1650.78125,1.2004417660119382,1.0,768.0,32.0,22.952380118835507,0.0,1.0,-5.846068076510164,1.394190922001144
e2e_kv_logprob_qwen2.5_0.5b_t0022,completed,0.0000,0.75,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,window,wikitext_768tok,593.5,-3.0532479424833525,599.0,768.0,-3.235937569874295,3.235937569874295,3.0532479424833525,1650.78125,25.430203197707804,21.184037341678852,768.0,32.0,19.29214025344619,-0.625,0.375,-103.55000223597744,1.658706581001752
e2e_kv_logprob_qwen2.5_0.5b_t0023,completed,0.0000,0.75,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,h2o,wikitext_768tok,593.5,-1.2048206930290632,599.0,768.0,-1.3875103204200059,1.3875103204200059,1.2048206930290632,1650.78125,4.004866795513442,3.3361608275412284,768.0,32.0,20.345384454495086,-0.21875,0.78125,-44.40033025344019,1.5728383050009143
e2e_kv_logprob_qwen2.5_0.5b_t0024,completed,0.0000,0.75,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,hybrid,wikitext_768tok,593.5,-0.8099618450220589,599.0,768.0,-0.9926514724130016,0.9926514724130016,0.8099618450220589,1650.78125,2.698379674777097,2.24782221943306,768.0,32.0,20.60239349940259,-0.09375,0.90625,-31.76484711721605,1.5532175910011574
e2e_kv_logprob_qwen2.5_0.5b_t0025,completed,0.0000,0.9,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,window,wikitext_768tok,707.21875,-3.254484732935083,719.0,768.0,-3.4371743603260256,3.4371743603260256,3.254484732935083,1650.78125,31.098959446887992,25.906262450534165,768.0,32.0,21.759230035708125,-0.59375,0.40625,-109.98957953043282,1.470640273000754
e2e_kv_logprob_qwen2.5_0.5b_t0026,completed,0.0000,0.9,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,h2o,wikitext_768tok,707.21875,-0.12612369560596903,719.0,768.0,-0.30881332299691167,0.30881332299691167,0.12612369560596903,1650.78125,1.3618081285133816,1.1344224826811289,768.0,32.0,19.97836287112177,-0.03125,0.96875,-9.882026335901173,1.6017328449997876
e2e_kv_logprob_qwen2.5_0.5b_t0027,completed,0.0000,0.9,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,hybrid,wikitext_768tok,707.21875,-0.37708131249257804,719.0,768.0,-0.5597709398835207,0.5597709398835207,0.37708131249257804,1650.78125,1.750271536973372,1.4580228600243201,768.0,32.0,20.86248968134971,-0.03125,0.96875,-17.91267007627266,1.5338533649992314
e2e_kv_logprob_qwen2.5_0.5b_t0028,completed,0.0000,0.98,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,window,wikitext_768tok,768.0,-4.0979591500059485,783.0,783.0,-4.280648777396891,4.280648777396891,4.0979591500059485,1650.78125,72.28732317867004,60.21726769705808,768.0,32.0,15.81179052597738,-0.65625,0.34375,-136.98076087670051,2.0238062190001074
e2e_kv_logprob_qwen2.5_0.5b_t0029,completed,0.0000,0.98,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,h2o,wikitext_768tok,768.0,0.020100942794272214,783.0,783.0,-0.16258868459667042,0.16258868459667042,-0.020100942794272214,1650.78125,1.1765526559198105,0.9800997343074032,768.0,32.0,16.591575408572698,0.0,1.0,-5.202837907093453,1.928689664000558
e2e_kv_logprob_qwen2.5_0.5b_t0030,completed,0.0000,0.98,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,hybrid,wikitext_768tok,768.0,-0.00048146857068331883,783.0,783.0,-0.18317109596162595,0.18317109596162595,0.00048146857068331883,1650.78125,1.2010198801539353,1.0004815844952795,768.0,32.0,17.147189217916775,0.0,1.0,-5.8614750707720304,1.8661950710011297
