trial_id,status,duration_s,cfg_budget_frac,cfg_experiment,cfg_max_new_tokens,cfg_model,cfg_policy,cfg_prompt,metric_avg_cache_tokens,metric_avg_logprob_delta_vs_full,metric_final_cache_tokens,metric_max_cache_tokens,metric_mean_logprob,metric_nll,metric_nll_delta_vs_full,metric_peak_memory_mb,metric_perplexity,metric_perplexity_ratio_vs_full,metric_prompt_tokens,metric_scored_tokens,metric_tokens_per_second,metric_top1_match_delta_vs_full,metric_top1_match_rate,metric_total_logprob,metric_wall_time_s
e2e_kv_logprob_phi_2_t0001,completed,0.0000,1.0,e2e_kv_logprob,32,microsoft/phi-2,full,code_complex,196.5,0.0,212.0,212.0,-0.03841367141792951,0.03841367141792951,0.0,5454.03125,1.0391610151886501,1.0,181.0,32.0,17.770574416192545,0.0,1.0,-1.2292374853737442,1.8007296360010514
e2e_kv_logprob_phi_2_t0002,completed,0.0000,0.75,e2e_kv_logprob,32,microsoft/phi-2,window,code_complex,148.65625,-0.15421363861552884,159.0,181.0,-0.19262731003345834,0.19262731003345834,0.15421363861552884,5534.0947265625,1.2124308484943032,1.1667401208985861,181.0,32.0,16.40874330535618,-0.0625,0.9375,-6.164073921070667,1.9501798159981263
e2e_kv_logprob_phi_2_t0003,completed,0.0000,0.75,e2e_kv_logprob,32,microsoft/phi-2,h2o,code_complex,148.65625,-1.6228155849552603,159.0,181.0,-1.6612292563731899,1.6612292563731899,1.6228155849552603,5534.0947265625,5.265779861046368,5.067337769681837,181.0,32.0,17.968201977292257,-0.34375,0.65625,-53.159336203942075,1.78092388100049
e2e_kv_logprob_phi_2_t0004,completed,0.0000,0.75,e2e_kv_logprob,32,microsoft/phi-2,hybrid,code_complex,148.65625,0.0034772250033423546,159.0,181.0,-0.03493644641458715,0.03493644641458715,-0.0034772250033423546,5534.0947265625,1.0355538935454247,0.9965288135423647,181.0,32.0,16.598707279709913,0.0,1.0,-1.1179662852667889,1.9278609749999305
e2e_kv_logprob_phi_2_t0005,completed,0.0000,0.9,e2e_kv_logprob,32,microsoft/phi-2,window,code_complex,177.0625,-0.051892307501459456,190.0,190.0,-0.09030597891938896,0.09030597891938896,0.051892307501459456,5550.9697265625,1.09450912919538,1.0532623079558867,181.0,32.0,15.755242698554854,-0.03125,0.96875,-2.889791325420447,2.0310699500005285
e2e_kv_logprob_phi_2_t0006,completed,0.0000,0.9,e2e_kv_logprob,32,microsoft/phi-2,h2o,code_complex,177.0625,-0.772999242844362,190.0,190.0,-0.8114129142622915,0.8114129142622915,0.772999242844362,5550.9697265625,2.2510863327676756,2.166253641028875,181.0,32.0,17.064958650887974,-0.125,0.875,-25.965213256393326,1.875187666999409
e2e_kv_logprob_phi_2_t0007,completed,0.0000,0.9,e2e_kv_logprob,32,microsoft/phi-2,hybrid,code_complex,177.0625,0.0008472979280451653,190.0,190.0,-0.03756637348988434,0.03756637348988434,-0.0008472979280451653,5550.9697265625,1.0382809091222522,0.9991530609274848,181.0,32.0,15.115994775371314,0.0,1.0,-1.202123951676299,2.1169628909992753
e2e_kv_logprob_phi_2_t0008,completed,0.0000,0.98,e2e_kv_logprob,32,microsoft/phi-2,window,code_complex,192.28125,-0.06270131292289527,207.0,207.0,-0.10111498434082478,0.10111498434082478,0.06270131292289527,5560.3447265625,1.106403853567389,1.064708776980564,181.0,32.0,13.583908983967586,-0.0625,0.9375,-3.235679498906393,2.3557283870031824
e2e_kv_logprob_phi_2_t0009,completed,0.0000,0.98,e2e_kv_logprob,32,microsoft/phi-2,h2o,code_complex,192.28125,-0.3914099335287826,207.0,207.0,-0.4298236049467121,0.4298236049467121,0.3914099335287826,5560.3447265625,1.5369863828401409,1.4790647073698344,181.0,32.0,13.42253297195271,-0.125,0.875,-13.754355358294788,2.384050764998392
e2e_kv_logprob_phi_2_t0010,completed,0.0000,0.98,e2e_kv_logprob,32,microsoft/phi-2,hybrid,code_complex,192.28125,-0.00027962922867708073,207.0,207.0,-0.03869330064660659,0.03869330064660659,0.00027962922867708073,5560.3447265625,1.0394516356128876,1.0002796683285744,181.0,32.0,14.331560249563767,0.0,1.0,-1.2381856206914108,2.2328343490007683
e2e_kv_logprob_phi_2_t0011,completed,0.0000,1.0,e2e_kv_logprob,32,microsoft/phi-2,full,reasoning,61.5,0.0,77.0,77.0,-0.08490961259531105,0.08490961259531105,0.0,5336.03466796875,1.0886186648355107,1.0,46.0,32.0,16.73708988144131,0.0,1.0,-2.7171076030499535,1.911921380997228
e2e_kv_logprob_phi_2_t0012,completed,0.0000,0.75,e2e_kv_logprob,32,microsoft/phi-2,window,reasoning,46.375,-0.4223553603601431,58.0,58.0,-0.5072649729554541,0.5072649729554541,0.4223553603601431,5364.8115234375,1.6607428013157655,1.525550548563029,46.0,32.0,17.725620749268582,-0.09375,0.90625,-16.232479134574533,1.8052964380003687
e2e_kv_logprob_phi_2_t0013,completed,0.0000,0.75,e2e_kv_logprob,32,microsoft/phi-2,h2o,reasoning,46.375,-1.0068889700137333,58.0,58.0,-1.0917985826090444,1.0917985826090444,1.0068889700137333,5364.8115234375,2.9796283638086853,2.7370726408212964,46.0,32.0,15.954095758884966,-0.21875,0.78125,-34.93755464348942,2.0057545400013623
e2e_kv_logprob_phi_2_t0014,completed,0.0000,0.75,e2e_kv_logprob,32,microsoft/phi-2,hybrid,reasoning,46.375,-0.2600714030954805,58.0,58.0,-0.34498101569079154,0.34498101569079154,0.2600714030954805,5364.8115234375,1.4119631142688667,1.2970226947947958,46.0,32.0,17.677294184483156,-0.0625,0.9375,-11.03939250210533,1.8102317960001528
e2e_kv_logprob_phi_2_t0015,completed,0.0000,0.9,e2e_kv_logprob,32,microsoft/phi-2,window,reasoning,55.15625,-0.4397781604870943,69.0,69.0,-0.5246877730824053,0.5246877730824053,0.4397781604870943,5375.140625,1.6899311240127046,1.5523628049019824,46.0,32.0,15.929041773695184,-0.125,0.875,-16.79000873863697,2.0089092900016112
