trial_id,status,duration_s,cfg_budget_frac,cfg_experiment,cfg_max_new_tokens,cfg_model,cfg_policy,cfg_prompt,metric_avg_cache_tokens,metric_avg_logprob_delta_vs_full,metric_final_cache_tokens,metric_max_cache_tokens,metric_mean_logprob,metric_nll,metric_nll_delta_vs_full,metric_peak_memory_mb,metric_perplexity,metric_perplexity_ratio_vs_full,metric_prompt_tokens,metric_scored_tokens,metric_tokens_per_second,metric_top1_match_delta_vs_full,metric_top1_match_rate,metric_total_logprob,metric_wall_time_s
e2e_kv_logprob_qwen2.5_0.5b_t0001,completed,0.0000,1.0,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,full,code_complex,135.5,0.0,151.0,151.0,-0.39591760202711157,0.39591760202711157,0.0,998.02685546875,1.4857468899756077,1.0,120.0,32.0,21.73400224379742,0.0,1.0,-12.66936326486757,1.4723473220001324
e2e_kv_logprob_qwen2.5_0.5b_t0002,completed,0.0000,0.75,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,window,code_complex,102.4375,-2.1856463517298153,113.0,120.0,-2.581563953756927,2.581563953756927,2.1856463517298153,999.5576171875,13.217794021660058,8.896396896968811,120.0,32.0,21.951258990984947,-0.5,0.5,-82.61004652022166,1.4577751560009347
e2e_kv_logprob_qwen2.5_0.5b_t0003,completed,0.0000,0.75,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,h2o,code_complex,102.4375,-1.3417044168181746,113.0,120.0,-1.7376220188452862,1.7376220188452862,1.3417044168181746,999.5576171875,5.683811343272603,3.8255582977299163,120.0,32.0,17.985291734082466,-0.28125,0.71875,-55.60390460304916,1.779231634000098
e2e_kv_logprob_qwen2.5_0.5b_t0004,completed,0.0000,0.75,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,hybrid,code_complex,102.4375,-0.004216638932575734,113.0,120.0,-0.4001342409596873,0.4001342409596873,0.004216638932575734,999.5576171875,1.4920249750627828,1.0042255414630403,120.0,32.0,21.350862961179885,0.0,1.0,-12.804295710709994,1.4987684600000648
e2e_kv_logprob_qwen2.5_0.5b_t0005,completed,0.0000,0.9,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,window,code_complex,122.0,-2.304377771299727,136.0,136.0,-2.7002953733268384,2.7002953733268384,2.304377771299727,999.9794921875,14.884127449892876,10.017942861140526,120.0,32.0,22.085777332786716,-0.46875,0.53125,-86.40945194645883,1.44889625200085
e2e_kv_logprob_qwen2.5_0.5b_t0006,completed,0.0000,0.9,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,h2o,code_complex,122.0,-0.5072128060292016,136.0,136.0,-0.9031304080563132,0.9031304080563132,0.5072128060292016,999.9794921875,2.467314736521056,1.6606561677282483,120.0,32.0,22.410085910164764,-0.1875,0.8125,-28.90017305780202,1.4279284839994943
e2e_kv_logprob_qwen2.5_0.5b_t0007,completed,0.0000,0.9,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,hybrid,code_complex,122.0,-0.0019661214946609107,136.0,136.0,-0.3978837235217725,0.3978837235217725,0.0019661214946609107,999.9794921875,1.488670922431209,1.0019680555788673,120.0,32.0,22.255754085938445,0.0,1.0,-12.73227915269672,1.4378304090005258
e2e_kv_logprob_qwen2.5_0.5b_t0008,completed,0.0000,0.98,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,window,code_complex,132.59375,-4.058943685630105,148.0,148.0,-4.4548612876572165,4.4548612876572165,4.058943685630105,1000.2138671875,86.04421462271354,57.91310431356594,120.0,32.0,15.353020278700297,-0.625,0.375,-142.55556120503093,2.084280449000289
e2e_kv_logprob_qwen2.5_0.5b_t0009,completed,0.0000,0.98,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,h2o,code_complex,132.59375,-0.2703447076200973,148.0,148.0,-0.6662623096472089,0.6662623096472089,0.2703447076200973,1000.2138671875,1.9469466203334154,1.3104160832975928,120.0,32.0,17.731016054817502,-0.125,0.875,-21.320393908710685,1.8047471109985054
e2e_kv_logprob_qwen2.5_0.5b_t0010,completed,0.0000,0.98,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,hybrid,code_complex,132.59375,-9.273242403651238e-05,148.0,148.0,-0.3960103344511481,0.3960103344511481,9.273242403651238e-05,1000.2138671875,1.4858846732746107,1.0000927367238206,120.0,32.0,17.16038315248941,0.0,1.0,-12.672330702436739,1.8647602279997955
e2e_kv_logprob_qwen2.5_0.5b_t0011,completed,0.0000,1.0,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,full,reasoning,67.5,0.0,83.0,83.0,-0.06943577620563701,0.06943577620563701,0.0,970.953125,1.071903217302281,1.0,52.0,32.0,19.09213506525154,0.0,1.0,-2.2219448385803844,1.6760828419992322
e2e_kv_logprob_qwen2.5_0.5b_t0012,completed,0.0000,0.75,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,window,reasoning,50.90625,-1.061266613465662,62.0,62.0,-1.130702389671299,1.130702389671299,1.061266613465662,971.3115234375,3.09783162107811,2.8900292219241552,52.0,32.0,18.030183356332152,-0.3125,0.6875,-36.18247646948157,1.7748016959994857
e2e_kv_logprob_qwen2.5_0.5b_t0013,completed,0.0000,0.75,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,h2o,reasoning,50.90625,-1.2043518116463474,62.0,62.0,-1.2737875878519844,1.2737875878519844,1.2043518116463474,971.3115234375,3.574365178219125,3.3345969305092025,52.0,32.0,21.98052529717708,-0.21875,0.78125,-40.7612028112635,1.455834178999794
e2e_kv_logprob_qwen2.5_0.5b_t0014,completed,0.0000,0.75,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,hybrid,reasoning,50.90625,-0.33508728663241527,62.0,62.0,-0.4045230628380523,0.4045230628380523,0.33508728663241527,971.3115234375,1.4985875974728449,1.3980624120565888,52.0,32.0,22.883290596230566,-0.125,0.875,-12.944738010817673,1.3984002810011589
e2e_kv_logprob_qwen2.5_0.5b_t0015,completed,0.0000,0.9,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,window,reasoning,60.5625,-1.0275289581257567,74.0,74.0,-1.0969647343313937,1.0969647343313937,1.0275289581257567,971.4521484375,2.9950614064076215,2.7941528284106285,52.0,32.0,20.980117639457426,-0.3125,0.6875,-35.1028714986046,1.5252536020016123
e2e_kv_logprob_qwen2.5_0.5b_t0016,completed,0.0000,0.9,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,h2o,reasoning,60.5625,-0.5787443850447289,74.0,74.0,-0.6481801612503659,0.6481801612503659,0.5787443850447289,971.4521484375,1.912058023620057,1.7837972615029933,52.0,32.0,18.672526818264668,-0.15625,0.84375,-20.74176516001171,1.713747705998685
e2e_kv_logprob_qwen2.5_0.5b_t0017,completed,0.0000,0.9,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,hybrid,reasoning,60.5625,-0.30515646656499484,74.0,74.0,-0.37459224277063186,0.37459224277063186,0.30515646656499484,971.4521484375,1.4543982522915542,1.3568372860675983,52.0,32.0,22.033163207324435,-0.0625,0.9375,-11.98695176866022,1.452356146000966
