trial_id,status,duration_s,cfg_budget_frac,cfg_experiment,cfg_max_new_tokens,cfg_model,cfg_policy,cfg_prompt,metric_avg_cache_tokens,metric_exact_token_match,metric_final_cache_tokens,metric_first_mismatch_index,metric_max_cache_tokens,metric_new_tokens,metric_peak_memory_mb,metric_prompt_tokens,metric_text_similarity,metric_token_match_rate,metric_tokens_per_second,metric_wall_time_s
e2e_kv_cache_qwen2.5_0.5b_t0001,completed,0.0002,1.0,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,full,code_complex,135.5,1.0,151.0,-1.0,151.0,32.0,997.63623046875,120.0,1.0,1.0,14.435331118170346,2.216783234000104
e2e_kv_cache_qwen2.5_0.5b_t0002,completed,0.0000,0.3,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,window,code_complex,43.53125,0.0,46.0,1.0,120.0,32.0,997.7119140625,120.0,0.21428571428571427,0.03125,16.74246999589937,1.9113069940001424
e2e_kv_cache_qwen2.5_0.5b_t0003,completed,0.0000,0.3,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,h2o,code_complex,43.53125,0.0,46.0,1.0,120.0,32.0,997.7119140625,120.0,0.3333333333333333,0.03125,17.710987097021366,1.8067880589999277
e2e_kv_cache_qwen2.5_0.5b_t0004,completed,0.0000,0.3,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,snapkv,code_complex,43.53125,0.0,46.0,14.0,120.0,32.0,998.40673828125,120.0,0.8442211055276382,0.4375,15.656622593446073,2.0438635349999004
e2e_kv_cache_qwen2.5_0.5b_t0005,completed,0.0000,0.3,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,pyramid,code_complex,43.53125,0.0,46.0,1.0,120.0,32.0,997.7119140625,120.0,0.3333333333333333,0.03125,17.434960218493682,1.8353927739999563
e2e_kv_cache_qwen2.5_0.5b_t0006,completed,0.0000,0.3,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,adaptive,code_complex,35.9375,0.0,39.0,1.0,120.0,32.0,997.7470703125,120.0,0.3333333333333333,0.03125,15.407915360152442,2.0768546070000866
e2e_kv_cache_qwen2.5_0.5b_t0007,completed,0.0000,0.5,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,window,code_complex,69.875,0.0,76.0,2.0,120.0,32.0,998.2744140625,120.0,0.08368200836820083,0.0625,15.730430035109869,2.034273692999932
e2e_kv_cache_qwen2.5_0.5b_t0008,completed,0.0000,0.5,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,h2o,code_complex,69.875,0.0,76.0,1.0,120.0,32.0,998.2744140625,120.0,0.42727272727272725,0.125,19.32967647869227,1.6554855449999195
e2e_kv_cache_qwen2.5_0.5b_t0009,completed,0.0000,0.5,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,snapkv,code_complex,69.875,0.0,76.0,14.0,120.0,32.0,998.40673828125,120.0,0.8102564102564103,0.4375,17.782931755491145,1.7994783110000299
e2e_kv_cache_qwen2.5_0.5b_t0010,completed,0.0000,0.5,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,pyramid,code_complex,69.875,0.0,76.0,1.0,120.0,32.0,998.2744140625,120.0,0.42727272727272725,0.125,18.97421483539868,1.6864992979999442
e2e_kv_cache_qwen2.5_0.5b_t0011,completed,0.0000,0.5,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,adaptive,code_complex,54.125,0.0,67.0,1.0,120.0,32.0,997.7470703125,120.0,0.3333333333333333,0.03125,19.935822028571344,1.6051507659999515
