trial_id,status,duration_s,cfg_budget_frac,cfg_experiment,cfg_max_new_tokens,cfg_model,cfg_policy,cfg_prompt,metric_avg_cache_tokens,metric_exact_token_match,metric_final_cache_tokens,metric_first_mismatch_index,metric_max_cache_tokens,metric_new_tokens,metric_peak_memory_mb,metric_prompt_tokens,metric_text_similarity,metric_token_match_rate,metric_tokens_per_second,metric_wall_time_s
e2e_kv_cache_qwen2.5_0.5b_t0001,completed,0.0002,1.0,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,full,code_complex,135.5,1.0,151.0,-1.0,151.0,32.0,997.63623046875,120.0,1.0,1.0,18.752088389315084,1.7064765980003358
e2e_kv_cache_qwen2.5_0.5b_t0002,completed,0.0000,0.95,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,hybrid,code_complex,128.4375,1.0,143.0,-1.0,143.0,32.0,999.54052734375,120.0,1.0,1.0,19.96782859583834,1.602577859000121
e2e_kv_cache_qwen2.5_0.5b_t0003,completed,0.0000,0.98,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,hybrid,code_complex,132.59375,1.0,148.0,-1.0,148.0,32.0,999.63427734375,120.0,1.0,1.0,21.458241039156086,1.491268549999404
e2e_kv_cache_qwen2.5_0.5b_t0004,completed,0.0000,0.99,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,hybrid,code_complex,133.5625,1.0,149.0,-1.0,149.0,32.0,999.63427734375,120.0,1.0,1.0,20.806155617649363,1.5380063760003395
e2e_kv_cache_qwen2.5_0.5b_t0005,completed,0.0001,1.0,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,full,reasoning,67.5,1.0,83.0,-1.0,83.0,32.0,970.1455078125,52.0,1.0,1.0,22.515858871049957,1.4212204909999855
e2e_kv_cache_qwen2.5_0.5b_t0006,completed,0.0000,0.95,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,hybrid,reasoning,63.84375,0.0,78.0,26.0,78.0,32.0,970.96630859375,52.0,0.958904109589041,0.90625,19.63900215906688,1.6294106870000178
e2e_kv_cache_qwen2.5_0.5b_t0007,completed,0.0000,0.98,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,hybrid,reasoning,65.5625,0.0,81.0,26.0,81.0,32.0,970.96630859375,52.0,0.958904109589041,0.90625,22.294048428843183,1.4353606569993644
e2e_kv_cache_qwen2.5_0.5b_t0008,completed,0.0000,0.99,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,hybrid,reasoning,66.53125,0.0,82.0,26.0,82.0,32.0,971.01318359375,52.0,0.958904109589041,0.90625,23.44755138021892,1.3647480490008093
e2e_kv_cache_qwen2.5_0.5b_t0009,completed,0.0004,1.0,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,full,creative,57.5,1.0,73.0,-1.0,73.0,32.0,965.60205078125,42.0,1.0,1.0,23.26912742871375,1.3752127190000465
e2e_kv_cache_qwen2.5_0.5b_t0010,completed,0.0000,0.95,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,hybrid,creative,54.21875,0.0,69.0,25.0,69.0,32.0,966.1884765625,42.0,0.8734177215189873,0.78125,19.48642274756804,1.6421690329998455
e2e_kv_cache_qwen2.5_0.5b_t0011,completed,0.0000,0.98,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,hybrid,creative,55.84375,0.0,71.0,25.0,71.0,32.0,966.2353515625,42.0,0.8734177215189873,0.78125,20.055012868198926,1.5956110429997352
e2e_kv_cache_qwen2.5_0.5b_t0012,completed,0.0000,0.99,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,hybrid,creative,56.53125,0.0,72.0,25.0,72.0,32.0,966.2353515625,42.0,0.8734177215189873,0.78125,13.622440677682889,2.3490651019992583
e2e_kv_cache_qwen2.5_0.5b_t0013,completed,0.0001,1.0,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,full,instruction,42.5,1.0,58.0,-1.0,58.0,32.0,960.38818359375,27.0,1.0,1.0,17.495973027069024,1.8289923029997226
e2e_kv_cache_qwen2.5_0.5b_t0014,completed,0.0000,0.95,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,hybrid,instruction,40.03125,0.0,55.0,25.0,55.0,32.0,960.69287109375,27.0,0.8241206030150754,0.78125,16.31647334619408,1.9612081189998207
e2e_kv_cache_qwen2.5_0.5b_t0015,completed,0.0000,0.98,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,hybrid,instruction,41.3125,1.0,56.0,-1.0,56.0,32.0,960.71630859375,27.0,1.0,1.0,17.26731085726837,1.853212712999266
e2e_kv_cache_qwen2.5_0.5b_t0016,completed,0.0000,0.99,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,hybrid,instruction,41.53125,1.0,57.0,-1.0,57.0,32.0,960.71630859375,27.0,1.0,1.0,17.27914952958968,1.85194299900013
e2e_kv_cache_qwen2.5_0.5b_t0017,completed,0.0001,1.0,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,full,multilingual,29.5,1.0,38.0,-1.0,38.0,18.0,958.4033203125,21.0,1.0,1.0,17.744844345640548,1.014379143000042
