trial_id,status,duration_s,cfg_expected_difficulty,cfg_input_len,cfg_prompt,cfg_prompt_text_len,metric_avg_attention_entropy,metric_avg_attention_sparsity,metric_avg_gen_entropy,metric_avg_gen_top_prob,metric_decode_time_ms,metric_difficulty_label,metric_first_token_entropy,metric_first_token_top10_mass,metric_first_token_top5_mass,metric_first_token_top_prob,metric_input_token_count,metric_max_sink_mass,metric_min_gen_top_prob,metric_output_len,metric_output_repetition,metric_prefill_time_ms,metric_routing_score,metric_tokens_above_90pct,metric_tokens_above_95pct,metric_unique_token_ratio
prompt_routing_t0001,completed,0.0000,easy,7,greeting,25,0.6044969130307436,0.46471088503797847,2.767578327655792,0.4107796672731638,1114.5861219993094,0,4.101836681365967,0.56615149974823,0.47808876633644104,0.2850475013256073,7,0.9870094060897827,0.0811258852481842,20,0.19999999999999996,531.7236230002891,0.349122984200716,0.1,0.1,1.0
prompt_routing_t0002,completed,0.0000,easy,10,simple_math,16,0.7169002431134383,0.40467261460920173,0.7008706598026038,0.8028499066829682,1033.2450489986513,0,3.2618460655212402,0.7234050035476685,0.6222125887870789,0.28529322147369385,10,0.9568018317222595,0.28529322147369385,20,0.09999999999999998,45.18638300214661,0.6336931027231913,0.55,0.4,0.9
prompt_routing_t0003,completed,0.0000,easy,5,yes_no,16,0.4485658071935177,0.5032142860194048,1.741022541001439,0.6725496683269739,871.4013710014115,0,5.18642520904541,0.38619279861450195,0.26012077927589417,0.0588747076690197,5,0.9950172305107117,0.05887468904256821,20,0.75,37.79528799714171,0.4520413779914379,0.35,0.3,1.0
prompt_routing_t0004,completed,0.0000,easy,5,definition,19,0.41825666713217896,0.4898809492588043,1.4010048158466817,0.6388312771916389,932.63739500253,0,4.153899192810059,0.5839306116104126,0.4850221872329712,0.23128288984298706,5,0.9925422668457031,0.23128125071525574,20,0.09999999999999998,45.765694998408435,0.48887718519568446,0.2,0.1,1.0
prompt_routing_t0005,completed,0.0000,easy,8,format,24,0.6158071818451086,0.4214564723273118,0.30468225075746885,0.9171221151947975,912.2011809995456,0,2.9990198612213135,0.768695592880249,0.6588746309280396,0.35015761852264404,8,0.9549374580383301,0.35015758872032166,20,0.0,38.707780000549974,0.7347088416044134,0.75,0.75,1.0
prompt_routing_t0006,completed,0.0000,easy,6,list,22,0.5256904475390911,0.4758597897986571,0.9026168852578849,0.7801931087787335,727.9211280001618,0,4.671313285827637,0.4929291009902954,0.3518679738044739,0.13839055597782135,6,0.9902331233024597,0.13839051127433777,13,0.23076923076923073,66.77438499900745,0.5636435810483706,0.46153846153846156,0.38461538461538464,1.0
prompt_routing_t0007,completed,0.0000,easy,5,complete,24,0.44714710178474587,0.5047619069616,1.9640369061380625,0.5071542546153068,860.108938999474,0,3.247938632965088,0.7287777066230774,0.6019687652587891,0.31738072633743286,5,0.9962590932846069,0.1691185086965561,20,0.35,36.99560700260918,0.4295144435018301,0.1,0.05,1.0
prompt_routing_t0008,completed,0.0000,easy,7,emoji,31,0.5927277281880379,0.45444606989622116,2.323887750506401,0.43301763695975143,537.5560479988053,0,5.675390243530273,0.3731815218925476,0.25652390718460083,0.08944230526685715,7,0.9850146174430847,0.08944221585988998,12,0.08333333333333337,37.92869699827861,0.31541756967703505,0.08333333333333333,0.08333333333333333,1.0
prompt_routing_t0009,completed,0.0000,medium,11,explain_simple,38,0.7435852717608213,0.3766971646497647,2.0483891293406487,0.48392667062580585,722.7980729985575,1,2.369649648666382,0.8665127754211426,0.7947964668273926,0.5699942111968994,11,0.975366473197937,0.15778887271881104,16,0.0625,37.58207099963329,0.4951333664357663,0.125,0.0625,1.0
prompt_routing_t0010,completed,0.0000,medium,12,code_easy,64,0.7527185864746571,0.35061177300910157,0.5617878553610354,0.8361971125006675,853.6665470019216,1,1.8964039087295532,0.9039837121963501,0.8345019817352295,0.6095117330551147,12,0.9710700511932373,0.3714340031147003,20,0.15000000000000002,38.183361997653265,0.7598608507023601,0.65,0.55,1.0
prompt_routing_t0011,completed,0.0000,medium,28,summarize,166,0.9976711062093576,0.20497752632945776,1.8625586786307395,0.5555670253932476,915.4984240012709,1,4.566587448120117,0.5185115337371826,0.42638593912124634,0.17561866343021393,28,0.9335957765579224,0.07687672972679138,20,0.09999999999999998,96.98473699972965,0.4204100620411336,0.2,0.2,1.0
prompt_routing_t0012,completed,0.0000,medium,18,rewrite,69,0.9495039917528629,0.2950378463913997,2.1635489258915186,0.4828467017246617,999.1202899982454,1,5.063336372375488,0.4109424352645874,0.2803495526313782,0.06937464326620102,18,0.9454149603843689,0.06937331706285477,18,0.05555555555555558,47.96124799759127,0.3440757833007309,0.16666666666666666,0.16666666666666666,1.0
prompt_routing_t0013,completed,0.0000,medium,10,translate_common,52,0.705409811809659,0.3832142868389686,1.5062644719633682,0.615203469246626,1134.6877149990178,1,3.8059051036834717,0.6350390315055847,0.5400094985961914,0.23567424714565277,10,0.951107919216156,0.23567387461662292,20,0.0,88.94852199955494,0.48153308296381153,0.25,0.15,1.0
prompt_routing_t0014,completed,0.0000,medium,18,classify,86,0.9515982779363791,0.28804747201502323,1.310100581869483,0.6107188250869513,983.652611997968,1,3.975109100341797,0.6583400964736938,0.47909432649612427,0.11465846747159958,18,0.930732786655426,0.11465845257043839,20,0.15000000000000002,65.67938499938464,0.44628104700148113,0.2,0.2,0.9444444444444444
prompt_routing_t0015,completed,0.0000,hard,25,reason_multi,126,1.1032370403409004,0.24523809490104517,0.5594026216625935,0.8142740368843079,1109.05756700231,2,1.3060007095336914,0.9702260494232178,0.9493036866188049,0.6511737108230591,25,0.8878986239433289,0.42649585008621216,20,0.050000000000000044,40.499454000382684,0.7536856231341372,0.55,0.5,0.76
prompt_routing_t0016,completed,0.0000,hard,21,code_hard,101,0.9314462728798389,0.2554057336722811,1.3576078205049271,0.6449462480843067,1065.3332679976302,2,3.821047306060791,0.6064084768295288,0.421164870262146,0.1334853619337082,21,0.9469341039657593,0.1334853619337082,20,0.15000000000000002,50.0743920019886,0.47371979499363814,0.3,0.3,0.9047619047619048
prompt_routing_t0017,completed,0.0000,hard,41,math_word,148,1.3189449533820152,0.19397821525732675,0.3666759040554098,0.9002319619059562,1181.9031960003485,2,2.714155435562134,0.7467227578163147,0.659369945526123,0.4850451648235321,41,0.8437715768814087,0.4850451648235321,20,0.050000000000000044,82.23154599909321,0.7609392980472257,0.7,0.65,0.6585365853658537
prompt_routing_t0018,completed,0.0000,hard,17,creative_long,87,0.8887563322981199,0.291491595407327,3.602250449359417,0.2875190578401089,1167.742403002194,2,3.5181679725646973,0.7297119498252869,0.6515944004058838,0.21528984606266022,17,0.9657987952232361,0.07471494376659393,20,0.15000000000000002,54.59884000083548,0.24050455898046497,0.05,0.05,0.9411764705882353
prompt_routing_t0019,completed,0.0000,hard,10,debate,59,0.698337105413278,0.366755951816837,1.4295250912662596,0.6325229465961456,1116.1931610004103,2,4.343130111694336,0.51912522315979,0.38435524702072144,0.12916819751262665,10,0.9589508175849915,0.12916280329227448,20,0.09999999999999998,62.86836299841525,0.4545786342415959,0.2,0.15,1.0
prompt_routing_t0020,completed,0.0000,hard,19,translate_rare,100,0.93692014614741,0.2696873772268494,1.326713925600052,0.7040759086608886,1013.4580960002495,2,3.5190656185150146,0.6921311616897583,0.553636908531189,0.2674778997898102,19,0.9159383177757263,0.14859946072101593,20,0.15000000000000002,73.96875400081626,0.5538051763772965,0.45,0.35,0.9473684210526315
prompt_routing_t0021,completed,0.0000,hard,34,multi_step,147,1.2885206267237663,0.22174163473149142,1.9797830777970375,0.5006469700485467,840.8608739991905,2,3.8972346782684326,0.5843807458877563,0.4394555687904358,0.1461312621831894,34,0.8706941604614258,0.12106647342443466,20,0.050000000000000044,66.60965999981272,0.38490684356249405,0.2,0.1,0.7941176470588235
prompt_routing_t0022,completed,0.0000,hard,16,ambiguous,90,0.9039511680603027,0.32112630270421505,1.4558297499082982,0.6367935769259929,934.9831540021114,2,4.658390045166016,0.4474596679210663,0.31839773058891296,0.18119321763515472,16,0.9546906352043152,0.1811925321817398,20,0.050000000000000044,45.39355199813144,0.4708422060646117,0.2,0.2,1.0
