trial_id,status,duration_s,cfg_budget_frac,cfg_experiment,cfg_max_new_tokens,cfg_model,cfg_policy,cfg_prompt,metric_avg_cache_tokens,metric_avg_logprob_delta_vs_full,metric_final_cache_tokens,metric_max_cache_tokens,metric_mean_logprob,metric_nll,metric_nll_delta_vs_full,metric_peak_memory_mb,metric_perplexity,metric_perplexity_ratio_vs_full,metric_prompt_tokens,metric_scored_tokens,metric_tokens_per_second,metric_top1_match_delta_vs_full,metric_top1_match_rate,metric_total_logprob,metric_wall_time_s
e2e_kv_logprob_qwen2.5_0.5b_t0001,completed,0.0000,1.0,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,full,code_complex,135.5,0.0,151.0,151.0,-0.39591760202711157,0.39591760202711157,0.0,998.02685546875,1.4857468899756077,1.0,120.0,32.0,13.91377369730091,0.0,1.0,-12.66936326486757,2.2998792920002415
e2e_kv_logprob_qwen2.5_0.5b_t0002,completed,0.0000,0.3,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,window,code_complex,43.53125,-4.0471779531767424,46.0,120.0,-4.443095555203854,4.443095555203854,4.0471779531767424,998.29150390625,85.03777378145057,57.235707074471264,120.0,32.0,14.044719661962954,-0.59375,0.40625,-142.17905776652333,2.2784363639998446
e2e_kv_logprob_qwen2.5_0.5b_t0003,completed,0.0000,0.3,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,h2o,code_complex,43.53125,-3.519290038240797,46.0,120.0,-3.9152076402679086,3.9152076402679086,3.519290038240797,998.29150390625,50.15948555883116,33.76045132401701,120.0,32.0,12.692922243939195,-0.625,0.375,-125.28664448857307,2.5210900519996358
e2e_kv_logprob_qwen2.5_0.5b_t0004,completed,0.0000,0.3,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,snapkv,code_complex,43.53125,-0.375138377168696,46.0,120.0,-0.7710559791958076,0.7710559791958076,0.375138377168696,998.986328125,2.162048126609793,1.4551927661415387,120.0,32.0,15.034891668079197,-0.125,0.875,-24.673791334265843,2.1283824789998107
e2e_kv_logprob_qwen2.5_0.5b_t0005,completed,0.0000,0.3,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,pyramid,code_complex,43.53125,-3.519290038240797,46.0,120.0,-3.9152076402679086,3.9152076402679086,3.519290038240797,998.29150390625,50.15948555883116,33.76045132401701,120.0,32.0,14.475524975303605,-0.625,0.375,-125.28664448857307,2.210627942999963
e2e_kv_logprob_qwen2.5_0.5b_t0006,completed,0.0000,0.3,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,adaptive,code_complex,35.9375,-0.8963911722403282,39.0,120.0,-1.2923087742674397,1.2923087742674397,0.8963911722403282,998.32666015625,3.641183529500326,2.450742824412108,120.0,32.0,14.426510946367335,-0.21875,0.78125,-41.35388077655807,2.2181385449998743
e2e_kv_logprob_qwen2.5_0.5b_t0007,completed,0.0000,0.5,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,window,code_complex,69.875,-2.8225935676923655,76.0,120.0,-3.218511169719477,3.218511169719477,2.8225935676923655,998.85400390625,24.990885283247106,16.820419044361852,120.0,32.0,18.747523181227297,-0.53125,0.46875,-102.99235743102327,1.7068921420000152
e2e_kv_logprob_qwen2.5_0.5b_t0008,completed,0.0000,0.5,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,h2o,code_complex,69.875,-2.7090480614879198,76.0,120.0,-3.1049656635150313,3.1049656635150313,2.7090480614879198,998.85400390625,22.30845296826489,15.014975376210373,120.0,32.0,17.25006097977687,-0.5625,0.4375,-99.358901232481,1.8550659059997088
e2e_kv_logprob_qwen2.5_0.5b_t0009,completed,0.0000,0.5,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,snapkv,code_complex,69.875,-0.3524675127446244,76.0,120.0,-0.748385114771736,0.748385114771736,0.3524675127446244,998.986328125,2.1135840634860936,1.4225734394912941,120.0,32.0,17.269182228504217,-0.0625,0.9375,-23.94832367269555,1.853011890000289
e2e_kv_logprob_qwen2.5_0.5b_t0010,completed,0.0000,0.5,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,pyramid,code_complex,69.875,-2.7090480614879198,76.0,120.0,-3.1049656635150313,3.1049656635150313,2.7090480614879198,998.85400390625,22.30845296826489,15.014975376210373,120.0,32.0,16.924318775886565,-0.5625,0.4375,-99.358901232481,1.8907703419999962
