trial_id,status,duration_s,cfg_has_ground_truth,cfg_input_len,cfg_prompt,cfg_prompt_type,metric_avg_attention_entropy,metric_avg_attention_sparsity,metric_avg_token_entropy,metric_avg_top_prob,metric_confidence_signal,metric_entropy_drift,metric_entropy_variance,metric_max_token_entropy,metric_min_token_entropy,metric_min_top_prob,metric_output_len,metric_quality_score
entropy_quality_predictor_t0001,completed,0.0000,True,8,math_1,factual,0.6247318958242735,0.4348958320915699,0.672882413569217,0.7870612959067027,0.7401368695575123,0.1852556871483103,0.6449682241090278,3.131649971008301,0.00021073449170216918,0.2981371581554413,21,0.0
entropy_quality_predictor_t0002,completed,0.0000,True,11,math_2,factual,0.7337337074180444,0.38387937905887765,0.6191967430495424,0.8039111018180847,0.7415796221378452,0.1427814095494493,0.4810629342634422,2.788323402404785,0.0001618789683561772,0.395932674407959,22,1.0
entropy_quality_predictor_t0003,completed,0.0000,True,10,math_3,factual,0.7243340648710728,0.40455357171595097,0.4888388561215834,0.8561796287695567,0.7796701973606734,0.20801081857352988,0.6159000107803566,3.1010091304779053,9.38740122364834e-05,0.30132412910461426,19,0.0
entropy_quality_predictor_t0004,completed,0.0000,True,10,math_4,factual,0.7063908651471138,0.40017856905857724,0.7839251724763017,0.7534856925408046,0.7097430497335396,0.4474104886113007,0.7004022824727592,2.86956787109375,7.264050509547815e-05,0.2931228578090668,21,0.0
entropy_quality_predictor_t0005,completed,0.0000,True,10,math_5,factual,0.678974907224377,0.3842261905471484,0.21121815561402096,0.9273012101650238,0.8278227538551003,-0.07547656237690414,0.18642382761310622,1.9160027503967285,2.338766080356436e-06,0.5091565847396851,21,0.0
entropy_quality_predictor_t0006,completed,0.0000,True,8,fact_1,factual,0.5901762694120407,0.4084821467598279,0.5372230547099289,0.8791179006749933,0.7890219964068665,0.06735096736034996,0.5564711219674195,2.384115219116211,0.0032885477412492037,0.5434393286705017,7,1.0
entropy_quality_predictor_t0007,completed,0.0000,True,6,fact_2,factual,0.514196269835035,0.47776124253869057,1.3293558277344952,0.7322347303231557,0.6819082640052463,1.1227613289219636,2.8773344031887573,6.493821144104004,0.004315672442317009,0.043635740876197815,19,0.0
entropy_quality_predictor_t0008,completed,0.0000,True,8,fact_3,factual,0.63052087277174,0.42336309514939785,1.0995900611858815,0.6837159236272176,0.6605551771723354,-0.196568588571002,0.9972545911439051,4.081053733825684,0.002047864720225334,0.18386654555797577,26,1.0
entropy_quality_predictor_t0009,completed,0.0000,True,11,fact_4,factual,0.7301643850902716,0.3706463985145092,0.4996240816389521,0.858555547396342,0.7734296085027357,-0.16922513960550228,0.5910818126677888,3.827348470687866,0.003438201267272234,0.19509893655776978,16,0.0
entropy_quality_predictor_t0010,completed,0.0000,True,9,fact_5,factual,0.623588482538859,0.393334802861015,1.0705522870024045,0.7446340645352999,0.6867508556197087,-0.8755195091168086,1.787338035716677,3.625506639480591,0.18748953938484192,0.22717274725437164,1,1.0
entropy_quality_predictor_t0011,completed,0.0000,True,15,code_1,factual,0.8585555888712406,0.3095105805744727,0.9032659010767626,0.7328820104400317,0.6741471672703045,0.6072878261019165,0.9302999158852711,3.3166310787200928,0.0001644041622057557,0.20420493185520172,22,0.0
entropy_quality_predictor_t0012,completed,0.0000,True,12,code_2,factual,0.7452087327837944,0.33579282214244205,1.4697251836458842,0.5883313938975334,0.5731407503585021,-0.14372384051481868,0.9914623071354766,3.5247390270233154,0.03919140249490738,0.17374779284000397,24,0.0
entropy_quality_predictor_t0013,completed,0.0000,False,7,explain_1,open,0.5887093432247639,0.44855442146460217,1.03952505486086,0.7181682009249926,0.6864234814637651,0.0224814610555768,0.5372598304947469,2.5505118370056152,0.011879965662956238,0.344456285238266,13,-1.0
entropy_quality_predictor_t0014,completed,0.0000,False,11,explain_2,open,0.7235047966241837,0.3675718232989311,0.9561865451590469,0.7277358487248421,0.6800110963126644,0.08296816513563199,0.8612529205212588,3.772481918334961,0.0027527306228876114,0.1493065506219864,26,-1.0
entropy_quality_predictor_t0015,completed,0.0000,False,7,creative_1,open,0.5433217727889618,0.4345238134264946,3.2056601816102077,0.36474307312777166,0.3769366883525723,-1.0445822023683125,2.0386988405253286,5.809374809265137,0.1551264226436615,0.07929640263319016,15,-1.0
entropy_quality_predictor_t0016,completed,0.0000,False,13,creative_2,open,0.857195945456624,0.3664940831561883,1.2908236374457678,0.7100307583808899,0.6508647775749365,0.9993380427360534,1.564180908317851,4.070536136627197,0.017505548894405365,0.19006700813770294,25,-1.0
entropy_quality_predictor_t0017,completed,0.0000,True,24,reason_1,factual,1.1735004509488742,0.2880497680356105,0.39035306764999406,0.8821430097023646,0.7752602743993048,-0.4685761692235246,0.310925014229528,2.717677593231201,0.00031993890297599137,0.3568163812160492,25,0.0
entropy_quality_predictor_t0018,completed,0.0000,True,28,reason_2,factual,1.1244026223818462,0.23487229396899542,0.36286762625240954,0.8833859950304032,0.7668953987338561,-0.25784365182432034,0.26814089286859716,1.8948404788970947,2.0237755961716175e-05,0.4126792848110199,26,0.0
entropy_quality_predictor_t0019,completed,0.0000,False,6,ambig_1,open,0.5707820672541857,0.4863591268658638,1.655608765874058,0.5793873563408851,0.5876289775911718,-1.2170194558178387,1.7106785755993363,4.54124641418457,0.015377151779830456,0.12776874005794525,25,-1.0
entropy_quality_predictor_t0020,completed,0.0000,False,4,ambig_2,open,0.3609148592998584,0.542224702735742,2.424593218167623,0.5540529854595662,0.5399958401868741,-0.7775577485561369,2.892954136704851,5.1680908203125,0.08583883941173553,0.07070571929216385,27,-1.0
